risk_month,segment,current_rating,total_loans,total_exposure,total_expected_loss,avg_provision_rate
2024-08-01,RJ,C,1,562.94,0.0,0.0
2024-08-01,RJ,E,1,225.64,0.0,0.0
2024-08-01,RJ,D,3,3263.84,0.0,0.0
2024-08-01,RS,C,3,1809.04,0.0,0.0
2024-08-01,SC,B,1,12.75,0.0,0.0
2024-08-01,SC,D,2,1567.7,0.0,0.0
2024-08-01,SE,C,1,784.7,0.0,0.0
2024-08-01,SP,B,6,1790.48,33.25,0.018570439211831463
2024-08-01,SP,C,67,121024.83,4143.07,0.034233223050179042
2024-08-01,SP,A,2,18024.2,0.0,0.0
2024-08-01,SP,E,6,3431.05,791.92,0.23080981040789261
2024-08-01,SP,D,41,28417.67,2038.42,0.071730722469505778
2024-07-01,AM,E,1,842.02,0.0,0.0
2024-07-01,AP,B,1,1052.14,0.0,0.0
2024-07-01,BA,C,1,72.58,0.0,0.0
2024-07-01,CE,A,6,5686.79,0.0,0.0
2024-07-01,CE,C,63,96145.01,2873.45,0.0298866264614253
2024-07-01,CE,E,10,20120.66,1021.83,0.050785113410792691
2024-07-01,CE,B,3,2788.74,0.0,0.0
2024-07-01,CE,D,47,62818.52,4777.3,0.076049228794310988
2024-07-01,MG,D,2,6895.1,0.0,0.0
2024-07-01,MG,C,4,5900.77,0.0,0.0
2024-07-01,PB,A,1,564.4,0.0,0.0
2024-07-01,PB,B,3,6691.67,0.0,0.0
2024-07-01,PB,E,4,2606.66,0.0,0.0
2024-07-01,PB,C,15,18543.09,589.08,0.03176816808849011
2024-07-01,PB,D,10,12678.7,4516.27,0.35620923280778
2024-07-01,PE,A,17,210319.91,4149.21,0.019728089461430447
2024-07-01,PE,B,15,17687.5,796.27,0.045018798586572435
2024-07-01,PE,D,148,222605.14,34057.25,0.15299399645488868
2024-07-01,PE,E,44,50193.36,816.22,0.016261513475089136
2024-07-01,PE,C,171,349821.91,9669.03,0.027639863952489428
2024-07-01,PR,D,1,162.39,0.0,0.0
2024-07-01,PR,B,1,1071.53,0.0,0.0
2024-07-01,RJ,C,1,1163.76,0.0,0.0
2024-07-01,RS,D,1,3591.26,0.0,0.0
2024-07-01,SC,C,2,3954.84,0.0,0.0
2024-07-01,SC,D,1,1106.44,0.0,0.0
2024-07-01,SP,A,2,1432.08,0.0,0.0
2024-07-01,SP,E,3,3336.24,1682.97,0.50445111862455938
2024-07-01,SP,C,22,53162.4,377.05,0.0070924187019397169
2024-07-01,SP,B,4,29653.78,25404.23,0.85669449223674021
2024-07-01,SP,D,7,15683.55,0.0,0.0
2024-06-01,AM,C,1,610.85,0.0,0.0
2024-06-01,BA,D,1,3359.12,0.0,0.0
2024-06-01,CE,E,16,19943.15,1237.27,0.062039848268703783
2024-06-01,CE,C,13,30762.2,0.0,0.0
2024-06-01,CE,D,23,34537.65,1088.71,0.031522411049970105
2024-06-01,CE,B,3,1675.28,0.0,0.0
2024-06-01,MA,C,1,152.94,0.0,0.0
2024-06-01,MG,D,2,1003.17,0.0,0.0
2024-06-01,MG,C,1,21062.22,0.0,0.0
2024-06-01,PA,B,1,1331.1,0.0,0.0
2024-06-01,PB,B,4,2772.12,0.0,0.0
2024-06-01,PB,E,4,5615.26,2455.11,0.43722107257722709
2024-06-01,PB,D,5,9465.26,0.0,0.0
2024-06-01,PB,C,4,2439.42,0.0,0.0
2024-06-01,PE,E,37,27247.31,533.33,0.019573675346300241
2024-06-01,PE,C,47,219937.09,7365.37,0.03348853074304111
2024-06-01,PE,A,4,129728.67,0.0,0.0
2024-06-01,PE,D,54,76478.19,7556.0500000000011,0.0988000631291091
2024-06-01,PE,B,29,31211.74,7389.32,0.23674809542819464
2024-06-01,RJ,D,1,826.85,0.0,0.0
2024-06-01,SP,B,2,4238.43,0.0,0.0
2024-06-01,SP,D,9,20774.59,0.0,0.0
2024-06-01,SP,A,1,31875,0.0,0.0
2024-06-01,SP,C,4,2731,243.36,0.0891102160380813
2024-06-01,SP,E,7,7118.58,0.0,0.0
2024-06-01,TO,E,1,1351.16,0.0,0.0
2024-05-01,CE,E,1,960.84,0.0,0.0
2024-05-01,CE,D,1,6440.78,0.0,0.0
2024-05-01,CE,A,1,2380,0.0,0.0
2024-05-01,CE,C,1,1245.3,0.0,0.0
2024-05-01,MG,C,1,2996.35,0.0,0.0
2024-05-01,PB,A,1,7420,0.0,0.0
2024-05-01,PE,A,7,122797.66,0.0,0.0
2024-05-01,PE,D,1,3521.42,0.0,0.0
2024-05-01,PE,C,7,58622.9,0.0,0.0
2024-05-01,PE,F,1,2040,0.0,0.0
2024-05-01,SP,C,2,23413.17,0.0,0.0
2024-04-01,CE,C,1,4978.49,0.0,0.0
2024-04-01,CE,A,3,39575,0.0,0.0
2024-04-01,PE,A,10,206154.15,2520.0,0.012223862580501049
2024-04-01,PE,F,1,99317.5,0.0,0.0
2024-04-01,SP,F,1,2520,0.0,0.0
2024-03-01,PE,C,1,7228.49,0.0,0.0
2024-02-01,CE,A,4,75485.8,0.0,0.0
2024-02-01,MG,F,1,63603.54,0.0,0.0
2024-02-01,PE,A,4,57894.13,0.0,0.0
2024-02-01,PE,F,1,63603.54,0.0,0.0
2024-02-01,SP,A,1,12214.9,12214.9,1.0
2024-01-01,PE,A,2,36638.16,0.0,0.0
